velocity_data_x,velocity_data_y,velocity_data_z
-0.4445989999999999,1.411509,-0.000182
-0.444714,1.411591,-0.00018
-0.444828,1.411674,-0.000178
-0.4449399999999999,1.411756,-0.000176
-0.44505,1.4118389999999998,-0.000174
-0.445158,1.41192,-0.000172
-0.445264,1.412003,-0.000171
-0.445367,1.412085,-0.0001699999999999
-0.4454689999999999,1.412167,-0.000168
-0.4455689999999999,1.412248,-0.000167
-0.445668,1.41233,-0.000166
-0.4457649999999999,1.412411,-0.000165
-0.445862,1.412492,-0.000164
-0.445957,1.412573,-0.0001629999999999
-0.446052,1.412654,-0.000162
-0.446147,1.412735,-0.000162
-0.446241,1.412815,-0.000161
-0.446335,1.412895,-0.00016
